alpha,beta,gamma,total_cost_mean,holding_mean,ordering_mean,stockout_mean,expiry_mean,stockout_incidence_pct_mean,n_orders_mean,n_stockout_events_mean,total_cost_std,holding_std,ordering_std,stockout_std,expiry_std,stockout_incidence_pct_std,n_orders_std,n_stockout_events_std
0.5,0.3,0.5,1866842.388532098,35679.84036793656,37312.5,1793850.0481641614,0.0,84.8800505050505,68.75,1027.125,592125.9134108995,1357.6838418085517,3395.6642522908114,596517.0417665564,0.0,6.570424370549647,5.67576300723398,279.05577399509224
0.5,0.3,1.5,945514.0167525231,58203.934770398744,21131.25,866178.8319821244,0.0,69.79166666666666,39.125,573.375,285513.32087142207,2248.2174204864536,903.144308987851,287989.28905711684,0.0,15.167102071566557,1.7268882005337975,233.4657744877027
0.5,0.3,2.5,966954.4161972015,80111.81478512587,18006.25,868836.3514120757,0.0,67.45580808080808,33.625,544.25,347322.29884014884,3779.631933583544,596.6798016644151,351091.4675551281,0.0,18.66805998365341,1.0606601717798212,294.9298948176377
0.5,1.15,0.5,544929.7697388667,49848.071614422646,48818.75,446262.9481244441,0.0,55.776515151515156,89.375,303.875,245302.78094463501,2009.54024459191,1811.8533329163263,247716.55383190216,0.0,18.517640535179748,3.0676887530703447,120.73280711673075
0.5,1.15,1.5,387736.3355834005,76506.31600202058,22668.75,288561.26958137995,0.0,37.46843434343434,42.375,192.5,161400.15136065078,2704.3393188331574,549.6346188930554,163760.9337803816,0.0,24.201029435679878,1.0606601717798212,144.10016357678828
0.5,1.15,2.5,571296.4647706368,102082.38023517876,18681.25,450532.834535458,0.0,47.22222222222222,35.125,244.5,215469.70744751103,2656.9178198448385,526.4011913794594,216937.7108582794,0.0,17.636523969128504,0.9910312089651149,91.00549433962765
0.5,2.0,0.5,317196.0047785505,66651.6178146828,56293.75,194250.63696386767,0.0,32.73358585858586,103.375,163.5,107652.50940251203,1830.4380516793,1243.3932546520773,109138.28868279677,0.0,17.00482169971097,1.9226098333849673,90.84523731521176
0.5,2.0,1.5,351066.3151867915,95739.1167899902,24681.25,230645.9483968013,0.0,40.088383838383834,46.125,196.375,98615.49884191668,2581.535057159456,808.410035634322,100637.87519551681,0.0,10.262729587258661,1.4577379737113252,50.97040457811908
0.5,2.0,2.5,443271.19462248555,127578.41585295914,18818.75,296874.0287695264,0.0,38.41540404040404,35.375,187.625,227487.65623438713,4764.532273640919,734.8165465902746,231922.8690340625,0.0,15.45301130517386,1.407885953173359,77.14353504993143
1.0,0.3,0.5,1730196.270398728,37155.61781656808,39006.25,1654034.4025821602,0.0,87.02651515151516,71.625,916.25,296709.40117983136,1193.39257975429,1928.2555958319278,298297.9909082323,0.0,4.274720529202002,3.2486260832190936,225.68229881849396
1.0,0.3,1.5,1038558.8164130889,59240.39090821638,21281.25,958037.1755048728,0.0,75.18939393939394,39.625,587.125,202490.4781137887,1783.296352624266,744.9532583611251,204003.0217596063,0.0,10.899826045463264,1.407885953173359,192.6865978733342
1.0,0.3,2.5,793937.7376360861,86334.25849915243,18393.75,689209.7291369336,0.0,62.18434343434343,34.375,411.5,403029.68881670793,3788.4823379016307,485.09019779830635,406417.3938116764,0.0,17.1710540148664,0.9161253813129043,196.01967831244465
1.0,1.15,0.5,439815.4181832102,53127.5004961411,50543.75,336144.16768706904,0.0,49.7790404040404,92.875,282.0,123038.68322590951,2025.8787152347727,1837.2023568458646,125436.16561106073,0.0,19.470633915501935,2.799872446074234,112.38454392969575
