week_start,flu_seasonal_index,covid_wave_active,covid_wave_label,respiratory_load_index
2019-05-06,0.278,0,,0.278
2019-05-13,0.3753,0,,0.3753
2019-05-20,0.4868,0,,0.4868
2019-05-27,0.6065,0,,0.6065
2019-06-03,0.7261,0,,0.7261
2019-06-10,0.8353,0,,0.8353
2019-06-17,0.9231,0,,0.9231
2019-06-24,0.9802,0,,0.9802
2019-07-01,1.0,0,,1.0
2019-07-08,0.9802,0,,0.9802
2019-07-15,0.9231,0,,0.9231
2019-07-22,0.8353,0,,0.8353
2019-07-29,0.7261,0,,0.7261
2019-08-05,0.6065,0,,0.6065
2019-08-12,0.4868,0,,0.4868
2019-08-19,0.3753,0,,0.3753
2019-08-26,0.278,0,,0.278
2019-09-02,0.1979,0,,0.1979
2019-09-09,0.1353,0,,0.1353
2019-09-16,0.0889,0,,0.0889
2019-09-23,0.0561,0,,0.0561
2019-09-30,0.034,0,,0.034
2019-10-07,0.0198,0,,0.0198
2019-10-14,0.0111,0,,0.0111
2019-10-21,0.006,0,,0.006
2019-10-28,0.0031,0,,0.0031
2019-11-04,0.0015,0,,0.0015
2019-11-11,0.0007,0,,0.0007
2019-11-18,0.0003,0,,0.0003
2019-11-25,0.0001,0,,0.0001
2019-12-02,0.0001,0,,0.0001
2019-12-09,0.0,0,,0.0
2019-12-16,0.0,0,,0.0
2019-12-23,0.0,0,,0.0
2019-12-30,0.0,0,,0.0
2020-01-06,0.0,0,,0.0
2020-01-13,0.0,0,,0.0
2020-01-20,0.0,0,,0.0
2020-01-27,0.0001,0,,0.0001
2020-02-03,0.0001,0,,0.0001
2020-02-10,0.0003,0,,0.0003
2020-02-17,0.0007,0,,0.0007
2020-02-24,0.0015,0,,0.0015
2020-03-02,0.0031,0,,0.0031
2020-03-09,0.006,0,,0.006
2020-03-16,0.0111,1,wave1_ancestral,0.0111
2020-03-23,0.0198,1,wave1_ancestral,0.0198
2020-03-30,0.034,1,wave1_ancestral,0.034
2020-04-06,0.0561,1,wave1_ancestral,0.0561
2020-04-13,0.0889,1,wave1_ancestral,0.0889
2020-04-20,0.1353,1,wave1_ancestral,0.1353
2020-04-27,0.1979,1,wave1_ancestral,0.1979
2020-05-04,0.278,1,wave1_ancestral,0.278
2020-05-11,0.3753,1,wave1_ancestral,0.3753
2020-05-18,0.4868,1,wave1_ancestral,0.4868
2020-05-25,0.6065,1,wave1_ancestral,0.6065
2020-06-01,0.7261,1,wave1_ancestral,0.7261
2020-06-08,0.8353,1,wave1_ancestral,0.8353
2020-06-15,0.9231,1,wave1_ancestral,0.9231
2020-06-22,0.9802,1,wave1_ancestral,0.9802
2020-06-29,1.0,1,wave1_ancestral,1.0
2020-07-06,0.9802,1,wave1_ancestral,0.9802
2020-07-13,0.9231,1,wave1_ancestral,0.9231
2020-07-20,0.8353,1,wave1_ancestral,0.8353
2020-07-27,0.7261,1,wave1_ancestral,0.7261
2020-08-03,0.6065,1,wave1_ancestral,0.6065
2020-08-10,0.4868,1,wave1_ancestral,0.4868
2020-08-17,0.3753,1,wave1_ancestral,0.3753
2020-08-24,0.278,1,wave1_ancestral,0.278
2020-08-31,0.1979,1,wave1_ancestral,0.1979
2020-09-07,0.1353,1,wave1_ancestral,0.1353
2020-09-14,0.0889,1,wave1_ancestral,0.0889
2020-09-21,0.0561,1,wave1_ancestral,0.0561
2020-09-28,0.034,1,wave1_ancestral,0.034
2020-10-05,0.0198,1,wave1_ancestral,0.0198
2020-10-12,0.0111,1,wave1_ancestral,0.0111
2020-10-19,0.006,1,wave1_ancestral,0.006
2020-10-26,0.0031,1,wave1_ancestral,0.0031
2020-11-02,0.0015,0,,0.0015
2020-11-09,0.0007,0,,0.0007
2020-11-16,0.0003,1,wave2_beta,0.0003
2020-11-23,0.0001,1,wave2_beta,0.0001
2020-11-30,0.0001,1,wave2_beta,0.0001
2020-12-07,0.0,1,wave2_beta,0.0
2020-12-14,0.0,1,wave2_beta,0.0
2020-12-21,0.0,1,wave2_beta,0.0
2020-12-28,0.0,1,wave2_beta,0.0
2021-01-04,0.0,1,wave2_beta,0.0
2021-01-11,0.0,1,wave2_beta,0.0
2021-01-18,0.0,1,wave2_beta,0.0
2021-01-25,0.0,1,wave2_beta,0.0
2021-02-01,0.0001,1,wave2_beta,0.0001
2021-02-08,0.0001,1,wave2_beta,0.0001
2021-02-15,0.0003,1,wave2_beta,0.0003
2021-02-22,0.0007,1,wave2_beta,0.0007
2021-03-01,0.0015,1,wave2_beta,0.0015
2021-03-08,0.0031,1,wave2_beta,0.0031
2021-03-15,0.006,1,wave2_beta,0.006
2021-03-22,0.0111,0,,0.0111
2021-03-29,0.0198,0,,0.0198
2021-04-05,0.034,0,,0.034
2021-04-12,0.0561,0,,0.0561
2021-04-19,0.0889,0,,0.0889
2021-04-26,0.1353,0,,0.1353
2021-05-03,0.1979,1,wave3_delta,0.1979
2021-05-10,0.278,1,wave3_delta,0.278
2021-05-17,0.3753,1,wave3_delta,0.3753
2021-05-24,0.4868,1,wave3_delta,0.4868
2021-05-31,0.6065,1,wave3_delta,0.6065
2021-06-07,0.7261,1,wave3_delta,0.7261
2021-06-14,0.8353,1,wave3_delta,0.8353
2021-06-21,0.9231,1,wave3_delta,0.9231
2021-06-28,0.9802,1,wave3_delta,0.9802
2021-07-05,1.0,1,wave3_delta,1.0
2021-07-12,0.9802,1,wave3_delta,0.9802
2021-07-19,0.9231,1,wave3_delta,0.9231
2021-07-26,0.8353,1,wave3_delta,0.8353
2021-08-02,0.7261,1,wave3_delta,0.7261
2021-08-09,0.6065,1,wave3_delta,0.6065
2021-08-16,0.4868,1,wave3_delta,0.4868
2021-08-23,0.3753,1,wave3_delta,0.3753
2021-08-30,0.278,1,wave3_delta,0.278
2021-09-06,0.1979,1,wave3_delta,0.1979
2021-09-13,0.1353,1,wave3_delta,0.1353
2021-09-20,0.0889,1,wave3_delta,0.0889
2021-09-27,0.0561,1,wave3_delta,0.0561
2021-10-04,0.034,1,wave3_delta,0.034
2021-10-11,0.0198,1,wave3_delta,0.0198
2021-10-18,0.0111,0,,0.0111
2021-10-25,0.006,0,,0.006
2021-11-01,0.0031,0,,0.0031
2021-11-08,0.0015,0,,0.0015
2021-11-15,0.0007,1,wave4_omicron,0.0007
2021-11-22,0.0003,1,wave4_omicron,0.0003
2021-11-29,0.0001,1,wave4_omicron,0.0001
2021-12-06,0.0001,1,wave4_omicron,0.0001
2021-12-13,0.0,1,wave4_omicron,0.0
2021-12-20,0.0,1,wave4_omicron,0.0
2021-12-27,0.0,1,wave4_omicron,0.0
2022-01-03,0.0,1,wave4_omicron,0.0
2022-01-10,0.0,1,wave4_omicron,0.0
2022-01-17,0.0,1,wave4_omicron,0.0
2022-01-24,0.0,1,wave4_omicron,0.0
2022-01-31,0.0001,1,wave4_omicron,0.0001
2022-02-07,0.0001,1,wave4_omicron,0.0001
2022-02-14,0.0003,1,wave4_omicron,0.0003
2022-02-21,0.0007,0,,0.0007
2022-02-28,0.0015,0,,0.0015
2022-03-07,0.0031,0,,0.0031
2022-03-14,0.006,0,,0.006
2022-03-21,0.0111,0,,0.0111
2022-03-28,0.0198,0,,0.0198
2022-04-04,0.034,0,,0.034
2022-04-11,0.0561,0,,0.0561
2022-04-18,0.0889,1,wave5_ba45,0.0889
2022-04-25,0.1353,1,wave5_ba45,0.1353
2022-05-02,0.1979,1,wave5_ba45,0.1979
2022-05-09,0.278,1,wave5_ba45,0.278
2022-05-16,0.3753,1,wave5_ba45,0.3753
2022-05-23,0.4868,1,wave5_ba45,0.4868
2022-05-30,0.6065,1,wave5_ba45,0.6065
2022-06-06,0.7261,1,wave5_ba45,0.7261
2022-06-13,0.8353,1,wave5_ba45,0.8353
2022-06-20,0.9231,1,wave5_ba45,0.9231
2022-06-27,0.9802,1,wave5_ba45,0.9802
2022-07-04,1.0,1,wave5_ba45,1.0
2022-07-11,0.9802,1,wave5_ba45,0.9802
2022-07-18,0.9231,0,,0.9231
2022-07-25,0.8353,0,,0.8353
2022-08-01,0.7261,0,,0.7261
2022-08-08,0.6065,0,,0.6065
2022-08-15,0.4868,0,,0.4868
2022-08-22,0.3753,0,,0.3753
2022-08-29,0.278,0,,0.278
2022-09-05,0.1979,0,,0.1979
2022-09-12,0.1353,0,,0.1353
2022-09-19,0.0889,0,,0.0889
2022-09-26,0.0561,0,,0.0561
2022-10-03,0.034,0,,0.034
2022-10-10,0.0198,0,,0.0198
2022-10-17,0.0111,0,,0.0111
2022-10-24,0.006,0,,0.006
2022-10-31,0.0031,0,,0.0031
2022-11-07,0.0015,0,,0.0015
2022-11-14,0.0007,0,,0.0007
2022-11-21,0.0003,0,,0.0003
2022-11-28,0.0001,0,,0.0001
2022-12-05,0.0001,0,,0.0001
2022-12-12,0.0,0,,0.0
2022-12-19,0.0,0,,0.0
2022-12-26,0.0,0,,0.0
2023-01-02,0.0,0,,0.0
2023-01-09,0.0,0,,0.0
2023-01-16,0.0,0,,0.0
2023-01-23,0.0,0,,0.0
2023-01-30,0.0001,0,,0.0001
2023-02-06,0.0001,0,,0.0001
2023-02-13,0.0003,0,,0.0003
2023-02-20,0.0007,0,,0.0007
2023-02-27,0.0015,0,,0.0015
2023-03-06,0.0031,0,,0.0031
2023-03-13,0.006,0,,0.006
2023-03-20,0.0111,0,,0.0111
2023-03-27,0.0198,0,,0.0198
2023-04-03,0.034,0,,0.034
2023-04-10,0.0561,0,,0.0561
2023-04-17,0.0889,0,,0.0889
2023-04-24,0.1353,0,,0.1353
2023-05-01,0.1979,0,,0.1979
2023-05-08,0.278,0,,0.278
2023-05-15,0.3753,0,,0.3753
2023-05-22,0.4868,0,,0.4868
2023-05-29,0.6065,0,,0.6065
2023-06-05,0.7261,0,,0.7261
2023-06-12,0.8353,0,,0.8353
2023-06-19,0.9231,0,,0.9231
2023-06-26,0.9802,0,,0.9802
2023-07-03,1.0,0,,1.0
2023-07-10,0.9802,0,,0.9802
2023-07-17,0.9231,0,,0.9231
2023-07-24,0.8353,0,,0.8353
2023-07-31,0.7261,0,,0.7261
2023-08-07,0.6065,0,,0.6065
2023-08-14,0.4868,0,,0.4868
2023-08-21,0.3753,0,,0.3753
2023-08-28,0.278,0,,0.278
2023-09-04,0.1979,0,,0.1979
2023-09-11,0.1353,0,,0.1353
2023-09-18,0.0889,0,,0.0889
2023-09-25,0.0561,0,,0.0561
2023-10-02,0.034,0,,0.034
2023-10-09,0.0198,0,,0.0198
2023-10-16,0.0111,0,,0.0111
2023-10-23,0.006,0,,0.006
2023-10-30,0.0031,0,,0.0031
2023-11-06,0.0015,0,,0.0015
2023-11-13,0.0007,0,,0.0007
2023-11-20,0.0003,0,,0.0003
2023-11-27,0.0001,0,,0.0001
2023-12-04,0.0001,0,,0.0001
2023-12-11,0.0,0,,0.0
2023-12-18,0.0,0,,0.0
2023-12-25,0.0,0,,0.0
2024-01-01,0.0,0,,0.0
2024-01-08,0.0,0,,0.0
2024-01-15,0.0,0,,0.0
2024-01-22,0.0,0,,0.0
2024-01-29,0.0001,0,,0.0001
2024-02-05,0.0001,0,,0.0001
2024-02-12,0.0003,0,,0.0003
2024-02-19,0.0007,0,,0.0007
2024-02-26,0.0015,0,,0.0015
2024-03-04,0.0031,0,,0.0031
2024-03-11,0.006,0,,0.006
2024-03-18,0.0111,0,,0.0111
2024-03-25,0.0198,0,,0.0198
2024-04-01,0.034,0,,0.034
2024-04-08,0.0561,0,,0.0561
2024-04-15,0.0889,0,,0.0889
2024-04-22,0.1353,0,,0.1353
2024-04-29,0.1979,0,,0.1979
2024-05-06,0.278,0,,0.278
2024-05-13,0.3753,0,,0.3753
2024-05-20,0.4868,0,,0.4868
2024-05-27,0.6065,0,,0.6065
2024-06-03,0.7261,0,,0.7261
2024-06-10,0.8353,0,,0.8353
2024-06-17,0.9231,0,,0.9231
2024-06-24,0.9802,0,,0.9802
2024-07-01,1.0,0,,1.0
2024-07-08,0.9802,0,,0.9802
2024-07-15,0.9231,0,,0.9231
2024-07-22,0.8353,0,,0.8353
2024-07-29,0.7261,0,,0.7261
2024-08-05,0.6065,0,,0.6065
2024-08-12,0.4868,0,,0.4868
2024-08-19,0.3753,0,,0.3753
2024-08-26,0.278,0,,0.278
2024-09-02,0.1979,0,,0.1979
2024-09-09,0.1353,0,,0.1353
2024-09-16,0.0889,0,,0.0889
2024-09-23,0.0561,0,,0.0561
2024-09-30,0.034,0,,0.034
2024-10-07,0.0198,0,,0.0198
2024-10-14,0.0111,0,,0.0111
2024-10-21,0.006,0,,0.006
2024-10-28,0.0031,0,,0.0031
2024-11-04,0.0015,0,,0.0015
2024-11-11,0.0007,0,,0.0007
2024-11-18,0.0003,0,,0.0003
2024-11-25,0.0001,0,,0.0001
2024-12-02,0.0001,0,,0.0001
2024-12-09,0.0,0,,0.0
2024-12-16,0.0,0,,0.0
2024-12-23,0.0,0,,0.0
2024-12-30,0.0,0,,0.0
2025-01-06,0.0,0,,0.0
