date,temp_max_C,temp_min_C,temp_mean_C_openmeteo,precip_sum_mm,rain_sum_mm,wind_max_kmh_openmeteo,wind_gusts_kmh,wmo_weather_code,sunshine_seconds,solar_MJ_per_m2,humidity_mean_pct,humidity_min_pct,humidity_max_pct,pressure_mean_hPa,apparent_temp_max_C,apparent_temp_min_C,heat_wave_flag,storm_flag,heavy_rain_flag,cold_snap_flag
2019-05-01,24.2,11.1,17.4,0.0,0.0,14.4,25.9,0,38875.46,19.49,44.083333333333336,23,68,874.6333333333333,23.2,8.0,0,0,0,0
2019-05-02,23.8,10.1,16.3,0.0,0.0,12.2,29.9,0,38849.71,19.08,49.625,27,78,875.5333333333333,22.1,7.4,0,0,0,0
2019-05-03,25.6,12.3,18.5,0.0,0.0,12.2,22.0,0,38556.7,18.74,43.541666666666664,27,61,874.2208333333333,24.7,9.5,0,0,0,0
2019-05-04,26.3,13.1,19.4,0.0,0.0,12.3,23.8,0,38340.22,18.44,45.666666666666664,27,64,874.1583333333333,25.5,10.4,0,0,0,0
2019-05-05,24.5,12.5,18.1,0.0,0.0,16.9,36.7,0,37844.65,18.23,51.083333333333336,30,76,877.0875,23.2,10.7,0,0,0,0
2019-05-06,25.9,11.6,18.4,0.0,0.0,13.1,22.0,0,37886.96,18.33,53.5,23,89,878.1541666666667,24.7,10.3,0,0,0,0
2019-05-07,24.0,12.6,17.5,0.0,0.0,19.2,40.7,2,37657.95,18.0,52.291666666666664,30,80,879.1083333333332,21.6,11.0,0,0,0,0
2019-05-08,22.2,11.6,15.1,0.9,0.9,19.1,41.0,53,26085.57,14.55,71.54166666666667,38,91,875.4125,19.7,10.1,0,0,0,0
2019-05-09,22.6,11.6,16.3,0.0,0.0,20.0,38.9,2,37040.06,14.25,58.75,35,81,873.5083333333333,20.0,9.4,0,0,0,0
2019-05-10,22.1,9.9,15.7,0.0,0.0,17.7,36.4,3,36069.01,12.63,58.0,40,88,875.4875000000001,20.2,6.5,0,0,0,0
2019-05-11,23.4,9.7,16.3,0.0,0.0,11.3,24.5,0,37001.37,17.24,64.79166666666667,36,94,876.8000000000001,22.3,8.6,0,0,0,0
2019-05-12,24.0,9.6,16.4,0.0,0.0,13.4,24.5,0,37038.86,17.59,57.666666666666664,32,90,876.5124999999999,23.0,8.0,0,0,0,0
2019-05-13,25.4,11.6,17.6,0.0,0.0,15.3,25.6,0,37075.67,17.72,45.083333333333336,20,70,875.0500000000001,24.3,8.4,0,0,0,0
2019-05-14,25.5,10.4,17.6,0.0,0.0,15.1,26.6,0,36868.96,17.72,41.25,14,75,875.775,22.4,8.7,0,0,0,0
2019-05-15,23.7,8.7,16.1,0.0,0.0,9.9,25.9,2,36612.57,17.36,48.875,24,81,875.3666666666667,21.6,6.2,0,0,0,0
2019-05-16,24.4,11.0,16.9,0.0,0.0,12.2,22.7,0,36632.36,17.15,44.75,24,64,873.975,22.9,8.3,0,0,0,0
2019-05-17,23.9,9.6,16.7,0.0,0.0,12.3,24.1,0,36665.26,17.18,41.333333333333336,21,71,873.3791666666666,21.7,7.1,0,0,0,0
2019-05-18,24.2,9.9,17.1,0.0,0.0,15.0,26.3,2,36035.21,16.47,38.083333333333336,19,59,874.1333333333333,22.2,7.1,0,0,0,0
2019-05-19,23.5,10.2,16.3,0.0,0.0,14.3,25.6,0,36451.98,16.72,46.125,25,67,875.0583333333334,21.5,7.8,0,0,0,0
2019-05-20,22.4,9.1,15.4,0.0,0.0,13.1,31.7,0,36414.66,16.73,48.25,31,66,874.3625000000001,19.9,6.0,0,0,0,0
2019-05-21,25.2,11.9,17.7,0.0,0.0,13.0,25.6,0,36428.02,16.61,41.041666666666664,21,59,873.7875,23.7,8.6,0,0,0,0
2019-05-22,22.8,9.6,15.7,0.0,0.0,13.5,31.0,0,36162.83,16.2,55.416666666666664,31,95,875.8208333333333,20.3,7.6,0,0,0,0
2019-05-23,24.2,12.4,17.8,0.0,0.0,16.8,29.9,2,36000.0,15.13,43.291666666666664,26,59,876.9416666666666,23.0,10.6,0,0,0,0
2019-05-24,21.2,11.6,16.5,0.1,0.1,17.5,31.0,51,34094.02,14.25,57.416666666666664,38,87,879.0166666666668,19.9,10.4,0,0,0,0
2019-05-25,22.1,9.1,15.3,0.4,0.4,15.5,31.3,51,36195.8,14.75,55.083333333333336,26,86,878.3333333333334,19.3,7.0,0,0,0,0
2019-05-26,22.0,8.8,14.5,0.0,0.0,11.6,28.4,3,36205.54,16.0,54.791666666666664,27,78,876.2583333333333,20.1,6.9,0,0,0,0
2019-05-27,21.1,6.9,14.0,0.0,0.0,12.1,22.3,3,36000.0,16.07,49.0,26,77,874.525,19.3,4.2,0,0,0,0
2019-05-28,20.6,7.6,14.1,0.0,0.0,11.8,21.6,3,36223.17,16.08,44.916666666666664,29,62,874.0625,18.7,4.7,0,0,0,0
2019-05-29,21.1,7.2,13.6,0.0,0.0,13.4,27.4,2,36231.05,14.98,49.583333333333336,20,89,875.0375,18.1,5.0,0,0,0,0
2019-05-30,20.5,8.1,13.7,0.0,0.0,16.2,31.0,0,36238.32,16.21,38.625,20,59,874.5333333333333,17.8,4.5,0,0,0,0
2019-05-31,20.7,6.1,13.1,0.0,0.0,13.7,25.2,1,36245.0,16.05,38.083333333333336,20,59,873.0,17.3,2.5,0,0,0,0
2019-06-01,19.4,6.9,12.4,0.0,0.0,11.4,26.3,2,36000.0,15.65,48.541666666666664,25,73,872.725,16.4,3.8,0,0,0,0
2019-06-02,21.5,6.6,13.9,0.0,0.0,17.0,37.1,3,36256.54,14.9,37.583333333333336,13,64,874.9,17.4,3.7,0,0,0,0
2019-06-03,20.8,7.5,13.4,0.0,0.0,18.4,33.1,0,36000.0,15.84,37.583333333333336,19,61,877.3291666666668,17.9,3.7,0,0,0,0
2019-06-04,22.6,6.8,13.9,0.0,0.0,10.2,22.3,0,36000.0,15.61,40.25,21,57,875.8708333333334,19.7,3.6,0,0,0,0
2019-06-05,24.2,10.9,16.4,0.0,0.0,15.5,33.8,0,36000.0,15.72,36.625,16,51,873.7458333333334,20.4,6.5,0,0,0,0
2019-06-06,23.1,10.2,15.9,0.0,0.0,18.4,32.0,3,35221.5,15.29,31.333333333333332,16,51,873.3791666666666,19.7,6.3,0,0,0,0
2019-06-07,21.1,9.1,14.2,0.0,0.0,20.4,37.8,3,36000.0,15.57,29.333333333333332,17,54,876.0458333333332,17.0,3.5,0,0,0,0
2019-06-08,23.5,6.3,14.4,0.0,0.0,21.8,39.2,0,36000.0,15.7,43.25,12,94,878.9291666666667,19.3,3.4,0,0,0,0
2019-06-09,18.8,6.8,12.2,0.0,0.0,18.4,35.3,0,36000.0,15.42,51.125,28,75,881.3916666666668,14.9,3.1,0,0,0,0
2019-06-10,19.3,6.7,12.5,0.0,0.0,11.7,28.8,0,36000.0,15.34,59.833333333333336,32,86,878.7833333333333,16.7,4.1,0,0,0,0
2019-06-11,21.4,8.9,14.6,0.0,0.0,16.3,31.0,0,36278.11,15.58,40.166666666666664,17,67,877.7541666666666,18.2,5.1,0,0,0,0
2019-06-12,20.2,5.8,13.2,0.0,0.0,16.6,36.4,0,36000.0,15.51,40.166666666666664,23,69,876.2791666666667,15.9,2.8,0,0,0,0
2019-06-13,20.6,7.8,13.3,0.0,0.0,20.0,35.6,0,36275.21,15.62,35.416666666666664,16,74,877.5375,18.0,3.3,0,0,0,0
2019-06-14,17.0,5.0,10.7,0.0,0.0,12.3,35.3,1,36000.0,15.29,64.625,38,91,880.5833333333334,14.5,2.0,0,0,0,0
2019-06-15,19.6,4.2,11.6,0.0,0.0,10.9,21.2,2,36269.6,15.44,53.416666666666664,26,87,878.2083333333334,17.0,2.0,0,0,0,1
2019-06-16,20.9,5.2,12.6,0.0,0.0,14.1,24.5,0,36265.9,15.75,37.125,15,59,877.2166666666667,17.6,1.1,0,0,0,0
2019-06-17,19.9,5.7,12.0,0.0,0.0,11.6,23.0,3,36261.6,15.5,44.5,20,75,878.4125,17.1,2.7,0,0,0,0
2019-06-18,20.3,7.1,13.1,0.0,0.0,18.7,38.5,3,36256.75,15.4,32.041666666666664,16,47,878.5916666666667,16.2,2.4,0,0,0,0
2019-06-19,20.0,6.7,12.7,0.0,0.0,17.6,31.3,3,36251.37,15.65,33.625,14,55,880.8541666666666,16.0,2.0,0,0,0,0
2019-06-20,21.0,3.7,11.5,0.0,0.0,13.4,25.2,3,36245.49,15.81,34.25,12,56,879.1750000000001,16.8,-0.6,0,0,0,1
2019-06-21,18.5,4.1,11.7,0.0,0.0,9.9,25.6,3,36239.15,15.31,56.708333333333336,34,90,878.5416666666666,15.7,1.0,0,0,0,1
2019-06-22,19.1,5.8,12.4,0.0,0.0,13.5,31.7,0,36232.4,15.2,55.458333333333336,33,84,874.4875000000001,16.2,3.3,0,0,0,0
2019-06-23,18.8,7.6,12.4,0.0,0.0,17.4,37.1,0,36225.24,15.32,42.458333333333336,21,67,872.0708333333333,14.6,3.5,0,0,0,0
2019-06-24,18.4,4.9,10.7,0.0,0.0,18.8,33.1,0,36503.33,15.67,37.458333333333336,18,55,871.6374999999999,15.0,0.1,0,0,0,1
2019-06-25,18.6,4.6,11.8,0.0,0.0,13.8,32.0,1,36495.43,15.6,32.0,19,52,873.4916666666667,14.5,1.3,0,0,0,1
2019-06-26,17.5,7.3,11.7,0.5,0.5,17.6,37.4,51,30988.34,10.85,65.625,31,96,876.4791666666666,13.9,4.7,0,0,0,0
2019-06-27,18.4,4.9,11.4,0.0,0.0,12.0,29.5,3,36193.17,14.76,68.25,38,95,876.4458333333333,15.6,2.3,0,0,0,1
2019-06-28,20.6,6.8,13.4,0.0,0.0,13.6,32.0,1,36469.73,15.04,54.375,29,81,874.8125,17.2,4.3,0,0,0,0
2019-06-29,22.9,10.2,15.3,0.0,0.0,12.7,24.1,0,36460.15,15.32,42.041666666666664,19,61,875.275,20.1,6.9,0,0,0,0
2019-06-30,22.0,7.9,14.6,0.0,0.0,12.4,25.6,3,36000.0,15.46,35.708333333333336,18,64,874.3625000000001,18.5,5.0,0,0,0,0
2019-07-01,19.5,6.7,11.9,0.0,0.0,30.8,61.6,2,36439.23,15.25,43.708333333333336,24,62,871.3916666666668,13.9,1.9,0,0,0,0
2019-07-02,18.5,3.5,9.8,0.0,0.0,29.2,52.2,0,36712.72,15.96,40.583333333333336,15,63,874.7583333333333,14.2,-2.9,0,0,0,1
2019-07-03,19.8,3.7,10.6,0.0,0.0,18.4,32.8,0,36700.7,16.05,37.583333333333336,14,58,875.3583333333332,16.6,-1.3,0,0,0,1
2019-07-04,19.5,4.4,11.3,0.0,0.0,13.0,31.7,0,36688.17,15.88,33.875,16,54,875.4875000000001,15.4,0.6,0,0,0,1
2019-07-05,21.0,7.4,13.1,0.0,0.0,16.9,29.5,0,36675.17,15.9,25.833333333333332,12,39,872.9583333333334,17.0,2.1,0,0,0,0
2019-07-06,19.0,4.5,11.4,0.0,0.0,19.4,39.2,1,36945.79,15.74,49.291666666666664,21,95,872.9250000000001,14.9,2.0,0,0,0,1
2019-07-07,21.5,7.8,13.5,0.0,0.0,20.5,38.2,0,36931.75,15.88,23.791666666666668,11,35,872.2958333333332,17.0,1.8,0,0,0,0
2019-07-08,19.8,7.8,13.4,0.0,0.0,19.7,37.8,0,36917.38,15.67,41.916666666666664,26,64,875.5708333333333,16.6,3.7,0,0,0,0
2019-07-09,22.5,7.9,14.2,0.0,0.0,20.3,38.2,0,36902.69,15.91,36.583333333333336,18,55,877.1958333333333,19.6,2.9,0,0,0,0
2019-07-10,23.6,6.3,13.6,0.0,0.0,13.3,28.1,0,37170.62,15.95,37.083333333333336,15,56,876.4833333333332,20.7,2.8,0,0,0,0
2019-07-11,24.5,7.9,15.6,0.0,0.0,12.6,28.1,0,37155.11,16.2,25.708333333333332,12,39,876.7333333333332,20.4,4.1,0,0,0,0
2019-07-12,23.6,7.5,15.1,0.0,0.0,10.8,24.5,0,37421.68,16.27,27.583333333333332,12,47,876.5708333333333,20.0,3.8,0,0,0,0
