date,is_school_term,is_exam_period,term_number,days_until_term_end,days_since_term_start,is_school_holiday_official
2019-05-01,1,0,2,44,29,0
2019-05-02,1,0,2,43,30,0
2019-05-03,1,0,2,42,31,0
2019-05-04,1,0,2,41,32,0
2019-05-05,1,0,2,40,33,0
2019-05-06,1,0,2,39,34,0
2019-05-07,1,0,2,38,35,0
2019-05-08,1,0,2,37,36,0
2019-05-09,1,0,2,36,37,0
2019-05-10,1,0,2,35,38,0
2019-05-11,1,0,2,34,39,0
2019-05-12,1,0,2,33,40,0
2019-05-13,1,0,2,32,41,0
2019-05-14,1,0,2,31,42,0
2019-05-15,1,0,2,30,43,0
2019-05-16,1,0,2,29,44,0
2019-05-17,1,0,2,28,45,0
2019-05-18,1,0,2,27,46,0
2019-05-19,1,0,2,26,47,0
2019-05-20,1,0,2,25,48,0
2019-05-21,1,0,2,24,49,0
2019-05-22,1,0,2,23,50,0
2019-05-23,1,0,2,22,51,0
2019-05-24,1,0,2,21,52,0
2019-05-25,1,1,2,20,53,0
2019-05-26,1,1,2,19,54,0
2019-05-27,1,1,2,18,55,0
2019-05-28,1,1,2,17,56,0
2019-05-29,1,1,2,16,57,0
2019-05-30,1,1,2,15,58,0
2019-05-31,1,1,2,14,59,0
2019-06-01,1,1,2,13,60,0
2019-06-02,1,1,2,12,61,0
2019-06-03,1,1,2,11,62,0
2019-06-04,1,1,2,10,63,0
2019-06-05,1,1,2,9,64,0
2019-06-06,1,1,2,8,65,0
2019-06-07,1,1,2,7,66,0
2019-06-08,1,1,2,6,67,0
2019-06-09,1,1,2,5,68,0
2019-06-10,1,1,2,4,69,0
2019-06-11,1,1,2,3,70,0
2019-06-12,1,1,2,2,71,0
2019-06-13,1,1,2,1,72,0
2019-06-14,1,1,2,0,73,0
2019-06-15,0,0,0,-1,-1,1
2019-06-16,0,0,0,-1,-1,1
2019-06-17,0,0,0,-1,-1,1
2019-06-18,0,0,0,-1,-1,1
2019-06-19,0,0,0,-1,-1,1
2019-06-20,0,0,0,-1,-1,1
2019-06-21,0,0,0,-1,-1,1
2019-06-22,0,0,0,-1,-1,1
2019-06-23,0,0,0,-1,-1,1
2019-06-24,0,0,0,-1,-1,1
2019-06-25,0,0,0,-1,-1,1
2019-06-26,0,0,0,-1,-1,1
2019-06-27,0,0,0,-1,-1,1
2019-06-28,0,0,0,-1,-1,1
2019-06-29,0,0,0,-1,-1,1
2019-06-30,0,0,0,-1,-1,1
2019-07-01,0,0,0,-1,-1,1
2019-07-02,0,0,0,-1,-1,1
2019-07-03,0,0,0,-1,-1,1
2019-07-04,0,0,0,-1,-1,1
2019-07-05,0,0,0,-1,-1,1
2019-07-06,0,0,0,-1,-1,1
2019-07-07,0,0,0,-1,-1,1
2019-07-08,0,0,0,-1,-1,1
2019-07-09,1,0,3,73,0,0
2019-07-10,1,0,3,72,1,0
2019-07-11,1,0,3,71,2,0
2019-07-12,1,0,3,70,3,0
2019-07-13,1,0,3,69,4,0
2019-07-14,1,0,3,68,5,0
2019-07-15,1,0,3,67,6,0
2019-07-16,1,0,3,66,7,0
2019-07-17,1,0,3,65,8,0
2019-07-18,1,0,3,64,9,0
2019-07-19,1,0,3,63,10,0
2019-07-20,1,0,3,62,11,0
2019-07-21,1,0,3,61,12,0
2019-07-22,1,0,3,60,13,0
2019-07-23,1,0,3,59,14,0
2019-07-24,1,0,3,58,15,0
2019-07-25,1,0,3,57,16,0
2019-07-26,1,0,3,56,17,0
2019-07-27,1,0,3,55,18,0
2019-07-28,1,0,3,54,19,0
2019-07-29,1,0,3,53,20,0
2019-07-30,1,0,3,52,21,0
2019-07-31,1,0,3,51,22,0
2019-08-01,1,0,3,50,23,0
2019-08-02,1,0,3,49,24,0
2019-08-03,1,0,3,48,25,0
2019-08-04,1,0,3,47,26,0
2019-08-05,1,0,3,46,27,0
2019-08-06,1,0,3,45,28,0
2019-08-07,1,0,3,44,29,0
2019-08-08,1,0,3,43,30,0
2019-08-09,1,0,3,42,31,0
2019-08-10,1,0,3,41,32,0
2019-08-11,1,0,3,40,33,0
2019-08-12,1,0,3,39,34,0
2019-08-13,1,0,3,38,35,0
