feature,n_papers,pct_papers
metric_accuracy,104,87.4
model_ANN_MLP,90,75.6
model_Ensemble,82,68.9
sec_conclusion,81,68.1
sec_limitations,81,68.1
model_RF,79,66.4
model_ARIMA,70,58.8
has_results_table,68,57.1
sec_future_work,66,55.5
metric_recall,57,47.9
sec_discussion,57,47.9
model_DT,56,47.1
model_SVM,56,47.1
metric_precision,54,45.4
model_GBM,53,44.5
uses_cross_val,53,44.5
model_Hybrid,51,42.9
has_variable_importance,47,39.5
model_LinReg,47,39.5
model_LogReg,45,37.8
metric_AUC,42,35.3
model_XGBoost,42,35.3
horizon_daily,40,33.6
metric_RMSE,37,31.1
metric_F1,36,30.3
model_RNN,35,29.4
model_LSTM,33,27.7
metric_MAPE,32,26.9
metric_MAE,32,26.9
model_KNN,32,26.9
model_CNN,29,24.4
model_SARIMA,26,21.8
model_Lasso,24,20.2
model_GLM,22,18.5
metric_MSE,21,17.6
metric_specificity,20,16.8
horizon_hourly,20,16.8
model_NaiveBayes,16,13.4
metric_R2,16,13.4
has_box_plot,16,13.4
has_flowchart,16,13.4
has_arch_diagram,15,12.6
has_confusion_matrix,14,11.8
horizon_weekly,13,10.9
has_ACF_PACF,13,10.9
horizon_monthly,12,10.1
model_Prophet,11,9.2
model_GRU,11,9.2
uses_train_test_split,11,9.2
has_actual_vs_pred,10,8.4
horizon_multi,8,6.7
test_Pearson,8,6.7
model_Transformer,8,6.7
has_PRISMA,8,6.7
model_ELM,8,6.7
metric_AIC_BIC,7,5.9
test_Spearman,6,5.0
sec_clinical_impl,6,5.0
has_heatmap,6,5.0
has_scatter_plot,6,5.0
test_ADF,5,4.2
metric_sMAPE,5,4.2
uses_train_val_test,5,4.2
test_t_test,5,4.2
has_time_series_plot,4,3.4
test_Diebold_Mariano,3,2.5
test_Cointegration,3,2.5
test_KS,2,1.7
test_Granger,2,1.7
has_residual_plot,2,1.7
test_Wilcoxon,2,1.7
metric_MASE,1,0.8
model_Naive,1,0.8
test_LjungBox,1,0.8
uses_rolling_origin,1,0.8
sec_comparison_prior,0,0.0
