paper,n_chars,metric_MAPE,metric_RMSE,metric_MAE,metric_R2,metric_MASE,metric_sMAPE,metric_AUC,metric_accuracy,metric_F1,metric_precision,metric_recall,metric_specificity,metric_MSE,metric_AIC_BIC,model_ARIMA,model_SARIMA,model_Prophet,model_LSTM,model_CNN,model_GRU,model_RNN,model_ANN_MLP,model_XGBoost,model_GBM,model_RF,model_SVM,model_ELM,model_GLM,model_LinReg,model_Lasso,model_NaiveBayes,model_LogReg,model_DT,model_KNN,model_Ensemble,model_Hybrid,model_Transformer,model_Naive,has_results_table,has_heatmap,has_actual_vs_pred,has_scatter_plot,has_residual_plot,has_ACF_PACF,has_arch_diagram,has_PRISMA,has_flowchart,has_variable_importance,has_confusion_matrix,has_box_plot,has_time_series_plot,test_Diebold_Mariano,test_Granger,test_Pearson,test_Spearman,test_Cointegration,test_ADF,test_LjungBox,test_Wilcoxon,test_t_test,test_KS,uses_cross_val,uses_rolling_origin,uses_train_test_split,uses_train_val_test,horizon_daily,horizon_weekly,horizon_monthly,horizon_hourly,horizon_multi,sec_discussion,sec_limitations,sec_future_work,sec_conclusion,sec_clinical_impl,sec_comparison_prior
A data mining approach for estimating patient demand for mental health services.pdf,35864,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A deep learning approach.pdf,41123,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A deep learning architecture for forecasting daily emergency.pdf,43640,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
A hybrid analytic approach.pdf,35690,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
A machine learning analysis.pdf,64788,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0
A systematic literature review of data machine learning.pdf,54547,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
A systematic literature review of machine learning.pdf,83816,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
A systematic review of the modelling of patient arrivals.pdf,61954,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0
Accurate Forecasting of Emergency Department Arrivals.pdf,64422,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
Adeeplearningarchitecturefor forecasting daily emergency department.pdf,43640,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0
