model,block,period,n_periods,MAPE,MAE,RMSE,R2
Naive_yest,val,weekly,26,1.9971479943319053,8.423076923076923,10.192380260989843,0.8574221644722817
Naive_yest,val,monthly,6,0.5930245100985949,11.0,13.650396819628847,0.8567921265557952
Naive_yest,test,weekly,55,2.2473758368950993,10.50909090909091,13.333484847623977,0.9169645837637267
Naive_yest,test,monthly,13,0.7807961221013588,16.076923076923077,19.0121418693828,0.980182283927948
Naive_yest,test,yearly,2,0.21894127480350123,11.5,12.020815280171307,0.9999989183108666
ARIMA,val,weekly,26,5.826576574927586,24.370874143392914,30.128307764813812,-0.24580554436533908
ARIMA,val,monthly,6,2.2314676482709346,41.163301332980645,49.85269557830375,-0.9100891362530463
ARIMA,test,weekly,55,7.133495640747101,32.476708928265886,43.99544538832882,0.09595206010943247
ARIMA,test,monthly,13,3.9269849911267944,82.13783164199278,95.76632056120093,0.49717471006857306
ARIMA,test,yearly,2,1.3627125706874808,49.93572071091944,50.08126748853145,0.9999812247709802
SARIMAX,val,weekly,26,6.085434953053104,25.24096533642519,29.89230337046536,-0.22636442423605518
SARIMAX,val,monthly,6,2.1978571621304734,40.2627333683339,52.06001493413822,-1.0829791331939331
SARIMAX,test,weekly,55,7.358932874206177,33.690796737435676,43.139382889005326,0.13079166940208098
SARIMAX,test,monthly,13,4.237325317399483,88.61442743513072,102.77679359564706,0.420862564898315
SARIMAX,test,yearly,2,2.584013118283832,61.31925861905074,77.08271495458592,0.9999555216543926
NB_GLM,val,weekly,26,6.203048781006824,26.88062831357311,34.523801197941495,-0.6358293476307157
NB_GLM,val,monthly,6,5.344820304574925,99.64249956347093,110.87163962288577,-8.447508315706623
NB_GLM,test,weekly,55,12.174848104444065,59.65377196303134,68.98724061179573,-1.2228674780557522
NB_GLM,test,monthly,13,10.60985664960295,226.90877024253373,246.26977573062436,-2.3251691229724303
NB_GLM,test,yearly,2,10.732885474554287,1474.9070065764693,1932.955812497611,0.972030901267965
XGBoost_RMSE,val,weekly,26,3.9816665166861145,16.899273358858547,21.663641252985126,0.3558845868285856
XGBoost_RMSE,val,monthly,6,1.89172666789308,35.16039148966471,39.75103170887733,-0.21443186074435072
XGBoost_RMSE,test,weekly,55,5.889930836271094,27.641025127064097,35.630974259398606,0.40703177944150826
XGBoost_RMSE,test,monthly,13,3.4743446046138264,73.57756688044621,86.28913057142837,0.5917711480706092
XGBoost_RMSE,test,yearly,2,2.3785159029339087,350.8052864074707,464.99091830081267,0.9983814595360814
ANN_RMSE,val,weekly,26,4.350913897802184,18.550131724430965,23.172962723560342,0.2630060763220383
ANN_RMSE,val,monthly,6,3.0547441255655863,56.90384737650553,58.81581234832624,-1.6586706551731796
ANN_RMSE,test,weekly,55,8.52070967837356,42.00904589566318,49.71560342104039,-0.15441365084740677
ANN_RMSE,test,monthly,13,6.889169801137976,148.17121828519382,164.50517785447212,-0.4837155673930895
ANN_RMSE,test,yearly,2,6.4937171040883825,963.1129188537598,1277.7035047913773,0.9877793363288748
LSTM_RMSE,val,weekly,26,4.017323531677606,16.840497767544374,21.370306059519233,0.3732097022436396
LSTM_RMSE,val,monthly,6,1.639567794869214,30.499670996549792,37.01050182023518,-0.052752520643938317
LSTM_RMSE,test,weekly,55,6.81291259781908,32.47081067014768,40.64841356251564,0.22827383582634908
LSTM_RMSE,test,monthly,13,3.8765861912833266,82.08894204551471,98.91340955867773,0.4635838387336999
LSTM_RMSE,test,yearly,2,4.447162625797301,532.6800953842956,681.3793164714449,0.9965245382571132
Quantile_XGB,val,weekly,26,4.116813090039761,17.576405892005333,22.81522214573578,0.28558562483820116
Quantile_XGB,val,monthly,6,2.514430867611051,46.882134119669594,49.55702651588312,-0.8874994038439388
Quantile_XGB,test,weekly,55,6.159272312813893,29.118686259876597,37.611652269013184,0.33927483491029087
Quantile_XGB,test,monthly,13,3.8317687658466113,81.34399795532227,94.90469953133356,0.5061819657260839
Quantile_XGB,test,yearly,2,3.0264796013942163,427.9686222076416,563.5076991765064,0.9976229718326413
