trial,hidden_layers,units,dropout,learning_rate,batch_size,seed,cv_MAPE,cv_MAE,cv_RMSE,cv_R2,cv_std_MAPE
6,2,256,0.2,0.004844677737096722,32,42,11.471137612836179,6.3544006892613,8.076585067487308,-0.44151522374607116,5.406405939052818
4,2,192,0.2,0.0018874053315616273,64,42,11.680587809643026,6.525271660940989,8.279034937333787,-0.687550298259857,4.680916513759084
10,2,192,0.2,0.0013270233620495792,64,42,11.805744432436414,6.586376844133649,8.337410361573854,-0.7653038750489909,4.848101648087083
2,2,256,0.3,0.0007339216231845529,64,42,11.872796585706055,6.661452320643832,8.244404365637632,-0.6358851981914313,4.331239848728592
19,2,192,0.1,0.0007046558559257773,16,42,12.294259840782333,6.825666155133929,8.486227686719875,-0.6974358413697737,5.710891240307928
16,1,192,0.3,0.0009100318076167505,16,42,12.298354499811936,6.808241435459682,8.468224087926563,-0.6857574033153222,4.907062192917823
18,1,192,0.2,0.001977120748714876,64,42,12.479624067190036,6.885146713256836,8.539006489606045,-0.6978854269621764,5.061531926788779
17,2,64,0.4,0.0036640459498560422,64,42,12.546894033725241,6.9893521990094865,8.560853566658375,-0.7484971734935587,5.3754371892534065
3,2,128,0.3,0.008030064871219652,32,42,12.630794637453267,7.008389009748186,8.611333094329328,-0.7708330724361302,5.447337094599565
7,2,128,0.1,0.007260179744876617,64,42,12.71971925491329,7.029600143432617,8.629000631188806,-0.7168160425686447,5.633636406677353
8,2,256,0.4,0.0020238952437608886,16,42,12.755257566400616,6.9511195591517865,8.596959765746451,-0.7489853539193195,5.935785504945619
15,1,256,0.4,0.0011860241059096232,32,42,12.777355900076234,7.047636522565568,8.590445145901358,-0.9405348259455035,5.822132645559706
13,2,192,0.4,0.006057721654926372,32,42,12.821597177764867,6.884970365251813,8.424820966242363,-0.44860339926675125,7.3407376154489725
9,1,64,0.3,0.0038693425662390908,16,42,12.863674133372445,7.207696533203124,8.961291539076466,-0.9425597531983932,5.203975957082469
11,2,128,0.1,0.0008820189700292096,32,42,12.872881042639435,7.180092511858258,8.564856140661542,-0.7531837527963212,5.605778286244515
12,1,64,0.3,0.0009867016938515162,32,42,13.06566884260032,7.353748485020228,8.957909911959083,-0.9183778139312382,5.697970738364589
5,1,64,0.1,0.0006053383222993595,32,42,13.248424227930666,7.445515278407505,9.043825029821065,-0.9471705469781743,5.917795022356832
0,1,256,0.3,0.006546838871578803,32,42,13.493130347910528,7.358521270751953,9.297381937363207,-1.0744774377171997,7.635031943118701
14,2,192,0.1,0.006050133672708895,16,42,13.546366267173955,7.30356238228934,9.058239927510373,-0.7636743566987767,9.11317664699801
1,1,192,0.1,0.009295739575551345,16,42,13.7430985710704,7.498778915405273,9.168494490290644,-0.7780780935376551,7.431194151161265
