order,p,q,AIC,cv_RMSE,cv_RMSE_std
"(0, 1, 0)",0,0,7063.248577373856,9.596876029773618,3.592167352130985
"(0, 1, 1)",0,1,6649.51334287254,8.983192303525248,3.022157043911253
"(0, 1, 2)",0,2,6640.626405453027,8.938156235978697,2.997966436750447
"(0, 1, 3)",0,3,6641.738613316531,8.961568181910833,2.977042600528685
"(1, 1, 0)",1,0,6904.802364532782,9.695115426630712,2.4638945517612862
"(1, 1, 1)",1,1,6641.529624048891,8.926786367956883,3.00100229639334
"(1, 1, 2)",1,2,6641.550133395161,8.946426885194384,3.0006449935085553
"(1, 1, 3)",1,3,6642.928744934273,8.945340726715688,3.0225359924960458
"(2, 1, 0)",2,0,6812.253592166211,9.200798280495533,2.6549677271755634
"(2, 1, 1)",2,1,6641.832993212982,8.975516190861434,2.9739619889341613
"(2, 1, 2)",2,2,6642.965976772803,8.941030021636362,3.0219391200823074
"(2, 1, 3)",2,3,6644.924901348233,8.946208769777312,3.017303361973112
"(3, 1, 0)",3,0,6771.35450723098,9.35699214748539,2.8473222125403397
"(3, 1, 1)",3,1,6643.8329379071265,8.986733055431717,2.99008650129794
"(3, 1, 2)",3,2,6644.860058156736,8.960339228619741,3.004201457089886
"(3, 1, 3)",3,3,6646.648930814642,8.978623818929602,3.000858493804831
