model,config,block,MAPE,MAE,RMSE,R2,n
dow_mean,expanding,val,14.192182418299252,8.914122366608481,11.038872637657752,-0.24002767161075544,184
dow_mean,expanding,test,20.53397132959712,14.77219639987087,17.113262805821503,-1.053474356484343,396
sarimax,expanding,val,12.392463066564902,7.103103092923757,9.066998716431579,0.16341699084371586,184
sarimax,expanding,test,13.105268783422177,8.356742256991152,10.406750123224183,0.24062919190477683,396
xgboost,expanding,val,12.915246849034645,7.59829798988674,9.873818628965122,0.007907372476220753,184
xgboost,expanding,test,14.3958893114145,9.458398154287627,11.752702269206035,0.03150114220403677,396
dow_mean,sliding_450,val,12.469463372173315,7.461475752508361,9.533753585792574,0.07506805999919741,184
dow_mean,sliding_450,test,14.684608018478615,9.969053515928517,12.272891070144535,-0.05613005887273137,396
sarimax,sliding_450,val,12.23865693855844,7.01315276696371,8.955399058636017,0.18388414049951674,184
sarimax,sliding_450,test,13.387152951281594,8.590630675864524,10.548638716455573,0.21978107417107462,396
xgboost,sliding_450,val,13.057848055350174,7.633978221727454,9.94254085162855,-0.0059507055013292565,184
xgboost,sliding_450,test,14.237298414169869,9.264948353622898,11.706884280692872,0.039037821182851706,396
dow_mean,sliding_450_rulsif,val,12.469463372173315,7.461475752508361,9.533753585792574,0.07506805999919741,184
dow_mean,sliding_450_rulsif,test,14.684608018478611,9.969053515928517,12.272891070144535,-0.05613005887273115,396
sarimax,sliding_450_rulsif,val,12.23865693855844,7.01315276696371,8.955399058636017,0.18388414049951674,184
sarimax,sliding_450_rulsif,test,13.387152951281594,8.590630675864524,10.548638716455573,0.21978107417107462,396
xgboost,sliding_450_rulsif,val,12.886367542852097,7.5447143679079804,9.865955873805518,0.00948679697755972,184
xgboost,sliding_450_rulsif,test,15.060136745756727,9.743449721673523,12.350802743663357,-0.06958182721033768,396
