ensemble,n_components,MAPE,MAE,RMSE,R2,members
base_xgboost,1,12.018031469323443,7.085612151933753,9.391768656964606,0.1024126900432738,
base_ann,1,12.054798314182834,7.1718374749888545,9.306360864590589,0.11866359654145997,
base_hybrid_sarimax_lstm,1,12.098474229692243,7.047914482963338,9.006290488654098,0.17458219540866127,
base_sarimax,1,12.52471351269471,7.175508610368938,9.122631126844166,0.15311944652042075,
base_hybrid_sarimax_xgb,1,12.637265482143304,7.428919637649779,9.494678230622457,0.08263443503826007,
base_nbglm,1,12.646961884196587,7.764335267039514,9.792839445857119,0.02411374770656649,
base_lstm,1,12.742418309593209,7.38731287692789,9.9064805532226,0.0013329659523293458,
base_dow_mean,1,12.273827773948964,7.289221763085399,9.39896723840707,0.10103620136877511,
E1_simple_top3,3,11.851312602236206,6.975615680181209,9.06706981480606,0.16340387075246354,"xgboost,ann,hybrid_sarimax_lstm"
E1b_simple_top5,5,11.879858517142283,6.962809762340217,9.029320481308876,0.17035544513153977,"xgboost,ann,hybrid_sarimax_lstm,dow_mean,sarimax"
E1c_simple_all,8,11.795950479019481,6.9469354732657145,9.03469043216478,0.16936833313600863,
E2_inv_mape_weighted,8,11.796566711275089,6.947301340355214,9.034473981691995,0.1694081327206579,
E3_optimal_convex_biased,8,11.659271041560357,6.957676139121875,9.057669671786288,0.16513762750558647,
E4_stacking_ridge_honest,8,13.010559687163505,7.629524200897596,9.908096562539745,0.042490755107570166,ridge_meta_on_first_half_val
