trial,method,n_estimators,max_depth,learning_rate,subsample,cv_RMSE,cv_MAPE,cv_MAE,cv_R2,time_s,model,hidden_layers,units,dropout,batch_size,lookback
0,Grid,100.0,3.0,0.05,1.0,7.1425501063805354,9.140224210623193,5.598371233258928,-0.29974975574452334,4.2,XGBoost,,,,,
1,Grid,100.0,3.0,0.01,1.0,7.4386931993265595,10.02240094030838,6.099365125383651,-0.3643112303789217,0.9,XGBoost,,,,,
2,Grid,200.0,3.0,0.05,1.0,7.179913834879592,9.0110456691432,5.537462942940848,-0.33682744238638884,2.3,XGBoost,,,,,
3,Grid,300.0,3.0,0.05,1.0,7.314065443249842,9.241253560400034,5.69477549961635,-0.390148849465461,3.1,XGBoost,,,,,
4,Grid,500.0,3.0,0.01,1.0,7.0659468370480125,9.166325318170715,5.621853201729911,-0.25906311996437964,7.7,XGBoost,,,,,
5,Grid,500.0,3.0,0.05,1.0,7.7861504596929505,9.90748887179746,6.096799577985491,-0.6067207890213093,7.8,XGBoost,,,,,
6,Grid,200.0,5.0,0.05,0.85,7.7937091790111115,9.841589063235876,6.021349116734098,-0.6150517094688054,12.4,XGBoost,,,,,
7,Grid,300.0,5.0,0.05,1.0,8.387184828088802,10.2891723106268,6.3212613786969865,-0.863116949708424,8.4,XGBoost,,,,,
8,Grid,100.0,5.0,0.05,1.0,7.759265701502128,9.668565517990526,5.938228171212333,-0.6036426507833816,2.1,XGBoost,,,,,
9,Grid,300.0,3.0,0.05,0.85,7.696394554676073,9.84837407567908,6.0341026306152346,-0.605523154222315,3.1,XGBoost,,,,,
0,Random,100.0,8.0,0.1,0.85,8.432507747886538,10.417453892209537,6.467203085763114,-0.8431006183309947,4.1,XGBoost,,,,,
1,Random,200.0,8.0,0.01,1.0,8.503011153029973,10.73920784936627,6.637367466517857,-0.8062835269946088,8.2,XGBoost,,,,,
2,Random,100.0,3.0,0.1,1.0,7.128723100361666,8.83164764940875,5.452832249232701,-0.28356712956850544,0.8,XGBoost,,,,,
3,Random,300.0,8.0,0.1,1.0,9.056489564510207,11.01308648428783,6.809439413888114,-1.0448039366903612,13.4,XGBoost,,,,,
4,Random,300.0,3.0,0.3,0.85,9.574200211088103,11.980313419632669,7.400828334263393,-1.6058099185574957,2.4,XGBoost,,,,,
5,Random,300.0,5.0,0.01,1.0,7.706870672548282,9.715701342020438,6.012156895228794,-0.48849723469433365,4.8,XGBoost,,,,,
