model,block,n,MAPE,MAE,RMSE,MASE
xgboost,val,184,11.990513633956857,7.069710358329441,9.349914428344364,0.6189492412403769
xgboost,test,396,12.63287075621472,8.273935298727016,10.301628653680272,0.7243784703549261
ann,val,184,11.896741828520799,7.070673051087753,9.335637329058798,0.6190335244602123
ann,test,396,13.235406433796978,9.080905548249833,11.339397105058165,0.7950282704640963
lstm,val,184,12.3104450270361,7.184574224299476,9.395140376217466,0.6290055093312367
lstm,test,396,13.758940053195762,9.018787817200757,11.35191790321463,0.7895898973834932
arima,val,184,13.325752833138846,7.797082393278914,10.196863436842015,0.68263026158105
arima,test,396,14.850137574122213,9.334861021409827,11.81793252009146,0.8172619320222427
sarimax,val,184,12.52471351269471,7.175508610368938,9.122631126844166,0.6282118198334662
sarimax,test,396,13.105268783422177,8.356742256991152,10.406750123224183,0.7316281738631646
nbglm,val,184,12.646961884196587,7.764335267039514,9.792839445857119,0.6797632687466407
nbglm,test,396,15.458396526898019,10.768011616142164,13.300864060613515,0.9427334758667041
hybrid_sarimax_lstm,val,184,12.190614595436324,7.059532139671615,9.046708206360092,0.6180581438125992
hybrid_sarimax_lstm,test,396,12.946528165580615,8.432395418355553,10.508909251161343,0.7382515663998562
hybrid_sarimax_xgb,val,184,21.417021818953064,13.811328109888628,16.221792729844893,1.2091741557793394
hybrid_sarimax_xgb,test,396,13.458262193010198,8.862270797341061,10.833099133012547,0.7758869186512422
hybrid_lstm_xgb,val,184,31.26779828870591,17.13006943749053,19.131651392569147,1.4997281279335348
hybrid_lstm_xgb,test,396,13.94567091626297,9.040147836262657,11.447792393752424,0.7914599552672178
