model,horizon_day,n,MAPE,MAE,RMSE,R2
arima,1,27,16.223853760476374,12.207394094371015,15.517409512145589,-0.8278897504831688
arima,2,27,11.783045244183139,6.603953799935324,8.41490992957621,0.07452746691204892
arima,3,26,12.641959378553844,7.332541331084505,9.478942048896226,0.00015092777307756933
arima,4,26,13.35775102140552,7.231578613140416,8.696463694799109,-0.14352807142775936
arima,5,26,9.789830302273707,6.18557001990555,8.414845386793562,-0.02201949503248013
arima,6,26,15.947498064056292,8.037559919559438,9.877783727553872,-0.3634109863156001
arima,7,26,13.484201548008368,6.857241163119667,8.853582114121851,-0.34759745138762677
sarimax,1,27,13.171959377792644,9.036739312693392,11.699537566288573,-0.039079907574383954
sarimax,2,27,12.840521140581531,6.969033818927897,9.147267255823877,-0.09357186030087039
sarimax,3,26,12.580098258419053,7.19463462946857,9.250920420411589,0.04767627987165368
sarimax,4,26,12.502541578996427,6.694440720783068,8.457569860528926,-0.08156504096160977
sarimax,5,26,11.278927842174978,6.9393056911770845,8.514115235748282,-0.04627523647148113
sarimax,6,26,13.458066261450593,7.023539252450481,8.543484381442711,-0.01994751129970762
sarimax,7,26,11.803839610486795,6.307222388971175,7.57184120107906,0.014344530356138918
nbglm,1,27,14.058535927399967,10.233082293836798,13.381593909839603,-0.3593373407714855
nbglm,2,27,12.609273032712826,7.415814950917013,9.580871353844753,-0.19970538402801896
nbglm,3,26,13.189896025778298,7.964960901126796,9.251587148403123,0.04753900406926104
nbglm,4,26,12.48722811278403,7.239352117488983,8.709735388626367,-0.14702101648398447
nbglm,5,26,10.500001596423415,6.847968696029399,9.010268520551463,-0.17176997688124263
nbglm,6,26,12.969517077819534,7.297732273457688,9.0459416769208,-0.14344513127814507
nbglm,7,26,12.66143967831498,7.269888455240126,8.540001562444704,-0.25382822512431513
xgboost,1,27,14.498186289267737,10.51435555352105,13.324924687344321,-0.34784850327138117
xgboost,2,27,13.495444333035008,7.286534485993562,9.648441705677744,-0.21668721604559393
xgboost,3,26,11.543407254625896,6.639492181631235,8.722394130348338,0.15338467553118884
xgboost,4,26,12.163831440231213,6.715670072115385,8.367980705014427,-0.058772844451502104
xgboost,5,26,8.216115362585773,5.40095696082482,7.996338981422094,0.07711137835152615
xgboost,6,26,13.162685205991883,7.031838050255407,8.917377221866385,-0.11117392077916266
xgboost,7,26,10.8943362578475,5.870835230900691,7.3213681387860765,0.07847603971477934
ann,1,27,13.917483438198769,10.12453446564851,12.947649161525883,-0.27260434139101775
ann,2,27,11.923997848192073,6.519298270896629,8.769156148963146,-0.005032711513692778
ann,3,26,12.814069198372216,7.600922071016752,9.153377046382857,0.06765334702712789
ann,4,26,12.045127827155893,6.738307366004357,7.920248279938838,0.05149626501899196
ann,5,26,9.536994448537758,6.262358445387621,8.874963852957231,-0.1368419329685946
ann,6,26,13.312629910747436,7.0646736438457785,8.988194433731524,-0.12889274003572226
ann,7,26,10.766674579690108,5.804300454946664,7.273808483948429,0.09040960438075718
lstm,1,27,14.891563884933234,10.773075602325791,13.642041631931676,-0.4127661989533
lstm,2,27,13.58543142388684,7.224910377119859,9.78672747863783,-0.25181335519882353
lstm,3,26,13.48518559267761,7.625679293883002,9.806531305818247,-0.07015220297536517
lstm,4,26,12.667029990614628,6.843695218122229,8.34551012005917,-0.05309422194843827
lstm,5,26,9.421248826748469,6.125424534127989,8.876201703831285,-0.13715908105896868
lstm,6,26,13.384924163217823,7.12745106365834,8.737037631668318,-0.06668496943132718
lstm,7,26,11.646461258549481,5.866978655966106,8.99178214216682,-0.38999645884693956
hybrid_sarimax_lstm,1,27,12.993920980348792,9.035306299708466,11.629548512306272,-0.026685110999062456
hybrid_sarimax_lstm,2,27,12.446128315976196,6.759247077563994,9.121970444932193,-0.0875316676449458
hybrid_sarimax_lstm,3,26,12.962445382288085,7.541535935048189,9.467171957165009,0.002632430207161751
hybrid_sarimax_lstm,4,26,12.223586837092869,6.693773849106032,7.921691672373188,0.051150521346265077
hybrid_sarimax_lstm,5,26,10.214721438702247,6.410057718204036,8.631007669034336,-0.07520160404091603
hybrid_sarimax_lstm,6,26,11.791164487777056,6.2725633798243425,7.890662408259508,0.1299690764000052
hybrid_sarimax_lstm,7,26,12.009540595008911,6.5575815670057835,7.618139173362833,0.0022541120990227093
hybrid_sarimax_xgb,1,27,12.953664371393328,9.219072478785595,11.41115515632475,0.01151342469956207
