base,level,method,gamma,coverage,mean_width,winkler,n_cal,n_test
XGBoost,80,split,0.0,0.7550505050505051,24.44964599609375,35.92419776531181,184,396
XGBoost,80,aci,0.001,0.7651515151515151,24.810574329260625,35.88770380887118,184,396
XGBoost,80,aci,0.005,0.7853535353535354,25.76587948654637,35.88419010663274,184,396
XGBoost,80,aci,0.01,0.797979797979798,26.278267407658124,35.98515290924997,184,396
XGBoost,80,aci,0.05,0.803030303030303,27.582378445249617,36.53884671914457,184,396
XGBoost,95,split,0.0,0.9242424242424242,36.127532958984375,48.31012779775292,184,396
XGBoost,95,aci,0.001,0.9267676767676768,37.46788028755574,47.78751107418176,184,396
XGBoost,95,aci,0.005,0.9419191919191919,38.79175401938082,48.02327516343858,184,396
XGBoost,95,aci,0.01,0.9444444444444444,40.610813622522834,48.37950394370339,184,396
XGBoost,95,aci,0.05,0.946969696969697,41.6173491044478,50.72985862963127,184,396
SARIMAX,80,split,0.0,0.7676767676767676,24.23487142942804,36.093496741453194,184,396
SARIMAX,80,aci,0.001,0.7702020202020202,24.42920869569276,36.08902597360193,184,396
SARIMAX,80,aci,0.005,0.7853535353535354,25.610004502767225,36.10969879927928,184,396
SARIMAX,80,aci,0.01,0.7904040404040404,26.10740670360138,36.25201786346632,184,396
SARIMAX,80,aci,0.05,0.8005050505050505,27.144393370830088,36.76804685371915,184,396
SARIMAX,95,split,0.0,0.9217171717171717,35.4095413995964,50.697767098034,184,396
SARIMAX,95,aci,0.001,0.9292929292929293,36.232594184334815,50.32546400684233,184,396
SARIMAX,95,aci,0.005,0.9419191919191919,36.7944323007791,50.442093705911724,184,396
SARIMAX,95,aci,0.01,0.9419191919191919,38.65721571111314,50.86487991229849,184,396
SARIMAX,95,aci,0.05,0.9368686868686869,38.72822323430028,50.27772256305128,184,396
Hybrid_SARIMAX_LSTM,80,split,0.0,0.7525252525252525,24.285641899392687,36.503283151861375,184,396
Hybrid_SARIMAX_LSTM,80,aci,0.001,0.7525252525252525,24.523896917587663,36.444724570566414,184,396
Hybrid_SARIMAX_LSTM,80,aci,0.005,0.7676767676767676,25.379564024758498,36.340054323701274,184,396
Hybrid_SARIMAX_LSTM,80,aci,0.01,0.7853535353535354,26.11016374693165,36.33919651316381,184,396
Hybrid_SARIMAX_LSTM,80,aci,0.05,0.803030303030303,27.157438995651557,36.711861063316555,184,396
Hybrid_SARIMAX_LSTM,95,split,0.0,0.9141414141414141,35.382422575283435,50.812756876555454,184,396
Hybrid_SARIMAX_LSTM,95,aci,0.001,0.9267676767676768,36.24609130054039,50.3561099009454,184,396
Hybrid_SARIMAX_LSTM,95,aci,0.005,0.9368686868686869,38.230594378533354,49.87498165355995,184,396
Hybrid_SARIMAX_LSTM,95,aci,0.01,0.9419191919191919,40.61610345798335,50.50536854503258,184,396
Hybrid_SARIMAX_LSTM,95,aci,0.05,0.9343434343434344,40.232940404462866,50.574422526083445,184,396
