n_estimators,max_depth,learning_rate,subsample,cv_MAPE,cv_MAE,cv_RMSE,cv_R2,cv_std_MAPE
100,3,0.05,1.0,11.750122089730949,6.55901734488351,8.281372411230967,-0.5050762121659852,4.331477454294253
500,3,0.01,1.0,11.787542366893485,6.5772263663155695,8.256178566267248,-0.4931864430109768,4.32197604055371
500,3,0.01,0.85,11.820163888013427,6.605522428240095,8.305172707038802,-0.5369699887057379,4.269622281176781
300,3,0.01,0.85,11.853182389289486,6.629548372541156,8.262367229138409,-0.5311202313005146,4.548895869004256
200,3,0.05,1.0,11.878530040942605,6.656802640642439,8.400467806244675,-0.5804543261886795,3.9941150021565006
300,3,0.01,1.0,11.905014564208217,6.64241943359375,8.241415768118319,-0.4868307569154279,4.569670786737327
200,3,0.01,0.85,11.923750839451472,6.671358925955637,8.258076693796339,-0.5606720258224999,4.828214572590293
300,3,0.01,0.7,11.933365086502853,6.6870566231863835,8.357038119240865,-0.5714918941501207,4.485037759023254
100,3,0.05,0.85,11.964032191411993,6.682723290579659,8.38891519369263,-0.5570441323821174,4.379239385052998
100,3,0.01,1.0,12.013121927239307,6.677326801845005,8.214810020790228,-0.527257297234808,5.696563007595965
200,3,0.01,1.0,12.019095041680963,6.707203020368302,8.27435971150677,-0.5262742462124241,4.93785878627221
500,3,0.01,0.7,12.02369516104198,6.728902762276786,8.489184746199907,-0.6131078968503084,4.3416720781148515
100,3,0.05,0.7,12.030458895933346,6.7617513384137835,8.466695252031101,-0.5949508147813023,4.168182736525918
200,5,0.01,0.7,12.038763261307398,6.739406422206334,8.414848014244663,-0.5386522336484367,4.523186595673972
100,3,0.1,0.7,12.045287202810984,6.7535928453717915,8.643005613635488,-0.6487603841170063,4.27785756463486
300,5,0.01,0.7,12.047274257484634,6.759285136631557,8.528580347710394,-0.6046621752302578,4.106092311965389
300,5,0.01,0.85,12.052822027631029,6.775800105503627,8.529197785486991,-0.6335924456963671,4.173180577878447
200,3,0.01,0.7,12.065374511887477,6.752744075230188,8.365803427779568,-0.5859282247259368,4.8889911757581
200,5,0.01,0.85,12.077161866395556,6.786079733712333,8.438136145097273,-0.578560793156814,4.384145994471188
100,5,0.05,0.7,12.103330246393746,6.859595326014928,8.703055584298637,-0.7646725190502285,3.6381091081677215
300,3,0.05,1.0,12.142811880849504,6.823373631068639,8.603996604468756,-0.7059383705446672,3.854698143057256
200,6,0.01,0.85,12.146759550711666,6.809428296770368,8.576551690680626,-0.6403830042554214,4.330274528814188
100,3,0.01,0.85,12.155475757891823,6.760217939104353,8.295327958811786,-0.5402484120644548,5.600388523392539
100,5,0.01,0.7,12.186176126252326,6.7747750418526795,8.366880948613366,-0.4937009696753825,5.328510640125847
