feature,mean_abs_shap
day_of_week,2.127267
rolling_mean_7d,1.1377695
rolling_mean_30d,0.9545018
arrivals_lag_1,0.8362419
rolling_std_30d,0.77855533
rolling_max_7d,0.74418753
rolling_mean_14d,0.6612834
temp_range_C,0.35161492
is_long_weekend,0.33147487
arrivals_lag_28,0.27814832
temp_max_C,0.1618531
rolling_std_7d,0.16068332
arrivals_lag_3,0.15542224
arrivals_lag_21,0.14285499
arrivals_lag_7,0.10116005
arrivals_lag_14,0.09887066
rolling_std_14d,0.0985263
fourier_weekly_cos_2,0.09431427
arrivals_lag_2,0.085722804
arrivals_lag_30,0.07420924
fourier_weekly_cos_1,0.0
dow_sin,0.0
year,0.0
