fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,14.29428935598592,10.46770403981545,13.067925018395556,-1.5826427623561785
8,2023-04-30,17.953782273156254,12.118416888091973,14.050840906121449,-2.7877370314360426
15,2023-06-18,14.984537377513579,7.620002217451607,10.43006317467843,-0.01572497590727351
23,2023-08-13,11.43855471879113,7.301834076828668,10.791750384795236,-0.18838649354824644
30,2023-10-01,8.268248539692033,5.202605552731446,5.815607989794425,-3.9916973441478225
38,2023-11-26,9.849844846956087,4.874470670911913,6.424171204510442,-0.2270805871226913
45,2024-01-14,18.260150548004006,8.445587206926808,9.820950719946545,-0.05540477426022994
53,2024-03-10,8.937497432980942,5.376814039430228,5.985666456406669,-0.015961772824216958
60,2024-04-28,7.5330573479511775,4.192787344050329,5.183219933995136,-0.5709101137518646
68,2024-06-23,12.865373989937872,7.244763590553399,7.69766789092493,-0.009544665156417498
AVG,,12.438533643096898,7.2844985626791825,8.926786367956883,-0.9445090520510983
