fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,16.140238317660952,11.760164682490984,14.937366229105052,-2.3744199331043196
8,2023-04-30,17.020367451578398,11.363691607960718,13.289360519345939,-2.388311686626616
15,2023-06-18,21.626108987830087,9.76777677062182,11.608250980066934,-0.25815987995332
23,2023-08-13,16.493791702882422,8.992878870042654,15.070323946381524,-1.3174965698865346
30,2023-10-01,8.47528664727962,5.309768967304067,5.995827150235126,-4.305865113130532
38,2023-11-26,14.598335478556798,7.223738507913031,9.621621894298697,-1.752551447794632
45,2024-01-14,17.98789716050523,7.899980688057778,9.805351380218502,-0.05205468262351287
53,2024-03-10,14.299577468204758,8.36369221816369,9.168176642031428,-1.383517178261021
60,2024-04-28,13.590478200802755,7.752847136758923,8.325812442738561,-3.053267886338129
68,2024-06-23,13.142938931653095,7.938656634002386,8.856961890917887,-0.336523964854456
AVG,,15.337502034695413,8.637319608331605,10.667905307533966,-1.7222168342573074
