fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,15.294102250616268,11.008850517121454,15.284100545711556,-2.5328959089751835
8,2023-04-30,18.019076966010232,12.101496711236562,14.62326679076948,-3.102645516862589
15,2023-06-18,14.847200624004994,7.724813227286079,10.817383548595153,-0.09256355850484677
23,2023-08-13,24.615981193441623,14.335806795921863,19.398397623206385,-2.839773779061421
30,2023-10-01,16.35644121207068,9.790033379502132,14.345079337084949,-29.371336621011494
38,2023-11-26,25.343611790894645,12.649953004259919,17.408762282980554,-8.011034713010307
45,2024-01-14,27.041324369999735,12.667048132752987,14.216224726365313,-1.2114674470869815
53,2024-03-10,12.967426849618374,7.429633249179686,9.979509395890242,-1.82403922531853
60,2024-04-28,23.122261876858165,13.405143445245285,15.722004516736723,-13.45332920667089
68,2024-06-23,9.572540154027182,5.1335930961504825,6.917298083208721,0.18476994929548352
AVG,,18.717996728754194,10.624637155865646,13.871202685054907,-6.2254316027206755
