model,cv_avg_RMSE,cv_avg_MAPE,val_MAPE,val_MAE,val_RMSE,val_R2,weekly_avg_pct_error,monthly_avg_pct_error,yearly_avg_pct_error
sarimax,8.382243082853858,12.339297567341491,12.582374610645559,7.210930496542963,9.221949077702227,0.13457911652457877,6.066667247983504,2.4151333729191493,1.467054167896875
sarimax_xgb,10.667905307533966,15.337502034695412,12.753155306765251,7.383094020103534,9.492459766892896,0.08306307609891539,6.397558705259329,2.469198844102807,0.3806398509196913
xgboost,9.893108444490954,13.662773251673732,13.044296641002143,7.668607152026633,9.872904765196402,0.00809100873388413,5.118456709780156,1.4173800771743297,0.6813053082824877
ann,9.935946893365498,13.537166041581536,13.45173248537862,7.905037154322085,10.004082051516118,-0.01844228246890256,4.982736689009693,2.991036351848875,1.4701465592650984
arima,8.926786367956883,12.438533643096898,13.324229352251935,7.797610982567034,10.195461784629751,-0.05778093119686467,6.063855877692175,2.2544310160079424,0.762049516729717
lstm_xgb,7.555693992663068,10.480827321701886,15.505253279330223,9.01852740412173,11.381101076127303,-0.3181064709167616,7.261497320954878,1.723433091582045,1.1243814198400055
lstm,7.545061905385983,10.124795012020217,15.590559481817778,9.05543097205784,11.39524679810835,-0.32138509131847925,6.992233041899885,2.1470373058690733,1.1424015758388744
sarimax_lstm,7.568646140790659,10.49223755716496,16.030532444567474,9.358028726979665,11.484242907213103,-0.3421055461866662,6.217303887617241,1.8029662005743443,0.534642285464083
stl_xgb,13.871202685054907,18.717996728754198,15.404547183928758,9.017647516559782,11.540155743732619,-0.3552058616124538,8.515259998800811,2.866753135962414,0.6481004503780643
stl_ann,12.900082953489862,17.671031059488346,15.702705041271493,9.136035529103905,11.955380924193113,-0.4544833961241832,8.152446707538244,2.7768468251243448,0.2406412831600233
stl_lstm,9.36588368131468,12.734212170398822,17.93706347955128,10.485452269102367,13.47943294626071,-0.8489500414593416,9.046625664646028,3.0527506889715355,0.3425671958731847
