model,algo,n_trials,cv_RMSE,cv_MAPE,cv_MAE,val_MAPE,val_MAE,val_RMSE,val_R2,winner_params
sarimax_xgb,optuna,10,7.475280395503954,10.00858311030231,6.092512793266835,12.044695243860911,6.999546735993262,8.877874987488001,0.19795269853067532,"{""n_estimators"": 100, ""max_depth"": 5, ""learning_rate"": 0.015144860262751412, ""subsample"": 0.848553073033381}"
sarimax,auto_arima,1,7.218410835995897,10.063712613376088,6.110553889681674,12.340766198821026,7.094174450513126,8.983988201967,0.17866509986095236,"{""order"": [1, 1, 1], ""seasonal_order"": [0, 1, 1, 7]}"
sarimax_lstm,rmse_tuned_proxy,0,,,,12.190614595436324,7.059532139671613,9.046708206360092,0.1671570823910632,see artefacts/metrics/hybrid_sarimax_lstm_rmse_metrics.csv
ann,grid,10,7.4079295424597955,9.663638688475151,6.038501194545202,12.322085003632102,7.151704373567001,9.244449920546684,0.13035084437308786,"{""hidden_layers"": 1, ""units"": 64, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}"
xgboost,optuna,10,7.198100599553468,9.511543158779528,5.851488276890346,11.955901430176743,7.072525646375573,9.389531729893276,0.10284021297595447,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.01699897838270077, ""subsample"": 0.7174250836504598}"
xgboost,random,10,7.060604998651546,9.1163994205746,5.6170310974121085,11.969618037520414,7.081178209056025,9.401435486261034,0.10056398846349746,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.01690068425265491, ""subsample"": 0.9049146859727364}"
xgboost,grid,10,7.168994947679236,9.405698414176626,5.765714045933315,11.988214767746754,7.1044820909914765,9.432812261172417,0.09455033341871899,"{""n_estimators"": 300, ""max_depth"": 3, ""learning_rate"": 0.01, ""subsample"": 0.85}"
ann,random,10,7.26396174393246,9.44026096010824,5.867842647007533,12.61494032016112,7.3887619972229,9.617156667399648,0.05881431470390086,"{""hidden_layers"": 2, ""units"": 256, ""dropout"": 0.3358192915830862, ""learning_rate"": 0.0001803961503006787, ""batch_size"": 32, ""seed"": 42}"
ann,optuna,10,6.988213930478717,9.22388250203729,5.698503439767021,12.800439409764106,7.430812317392101,9.637495786389746,0.05482911809130031,"{""hidden_layers"": 2, ""units"": 192, ""dropout"": 0.2075397185632818, ""learning_rate"": 0.0001705053926026929, ""batch_size"": 32, ""seed"": 42}"
arima,auto_arima,1,7.791239108067321,10.03468901341785,6.330443480783454,13.326302908917139,7.797796114955717,10.197697148567894,-0.05824482083916527,"{""order"": [0, 1, 2], ""seasonal_order"": null}"
lstm,optuna,10,6.915070151031661,9.002217458680942,5.584539249965123,13.823117447714415,7.940198255621868,10.27899565712356,-0.0751852467410048,"{""lookback"": 21, ""units"": 192, ""dropout"": 0.2570351922786027, ""learning_rate"": 0.00021839352923182988, ""batch_size"": 32, ""seed"": 42}"
lstm,random,10,7.0105853276814,9.34948078811583,5.703767286028181,15.09462629965887,8.757250288258428,10.895256322229757,-0.20797190965750123,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.26455232265416595, ""learning_rate"": 0.000566692445689169, ""batch_size"": 32, ""seed"": 42}"
stl_ann,optuna,10,9.293344992267482,12.747731004951172,7.760416481922947,14.985448186847508,8.693809341650459,11.30269127068362,-0.3000069128615859,"{""hidden_layers"": 2, ""units"": 192, ""dropout"": 0.2075397185632818, ""learning_rate"": 0.0001705053926026929, ""batch_size"": 32, ""seed"": 42}"
stl_xgb,optuna,10,9.335283212183697,12.813840202408835,7.741872935940894,15.276495764824594,8.97342945640533,11.326071547254845,-0.30539075585243647,"{""n_estimators"": 200, ""max_depth"": 8, ""learning_rate"": 0.0764136186923332, ""subsample"": 0.976562270506935}"
lstm,grid,8,7.268737220394472,10.219612873314222,5.996121106828962,15.96077457374247,9.242330779200016,11.738826571991957,-0.4022689067594325,"{""lookback"": 7, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}"
stl_lstm,optuna,10,7.902851481993741,11.384846314820518,6.660194307697035,16.42331408833418,9.66811992750404,12.277556279933743,-0.5339309088120878,"{""lookback"": 7, ""units"": 128, ""dropout"": 0.2774425485152653, ""learning_rate"": 0.0006342770438858341, ""batch_size"": 32, ""seed"": 42}"
lstm_xgb,rmse_tuned_proxy,0,,,,31.26779828870591,17.13006943749053,19.131651392569147,-2.72466183509382,see artefacts/metrics/hybrid_lstm_xgb_rmse_metrics.csv
