hidden_layers,units,dropout,learning_rate,batch_size,seed,cv_RMSE,cv_MAPE,cv_MAE
1,64,0.2,0.001,32,42,7.4079295424597955,9.663638688475153,6.038501194545202
1,64,0.3,0.003,32,42,7.530225618960257,9.28520392852202,5.863365173339844
1,128,0.2,0.003,32,42,8.757691498280838,11.098135262050095,7.07820325578962
1,192,0.2,0.001,32,42,7.734756420853766,10.114533876762115,6.37018781389509
1,192,0.3,0.001,32,42,7.457894075081269,9.770432614347147,6.102445874895368
2,64,0.2,0.003,32,42,7.682950933232538,9.778193067318716,6.1532002040318075
2,64,0.3,0.003,32,42,7.544933574659742,9.644517210735923,6.0863956996372774
2,128,0.3,0.001,32,42,7.467925547006102,9.722389570871448,6.0653616768973215
2,192,0.2,0.001,32,42,8.396262582966031,10.461010006462898,6.564490509033203
2,192,0.3,0.003,32,42,8.472656685288301,10.81138726069979,6.725857216971261
