fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,9.516203026006645,6.777244593345366,8.514194407350912,-0.09632216478460265
8,2023-04-30,15.974935941328841,10.603750472826702,13.014086868130994,-2.249395612197227
15,2023-06-18,15.178169192759562,7.302646630800274,8.689961064905429,0.2949207808366916
23,2023-08-13,12.95029090368195,7.451495302246976,9.57276262923863,0.06492056779849287
30,2023-10-01,4.897142400629754,3.008773819297684,3.3881671276728045,-0.694289601708092
38,2023-11-26,16.445187060394176,8.530721435575106,10.035047746443144,-1.9941789929589122
45,2024-01-14,14.572785637613848,6.435927839722005,8.003501365850559,0.29907421358967945
53,2024-03-10,9.64641360536568,5.475621554083381,6.659466125752558,-0.25756710933000204
60,2024-04-28,12.632889016801057,7.2229375771003275,8.018145668516418,-2.7592390669640583
68,2024-06-23,9.29430640145903,5.3346493558324815,5.787980652300753,0.4292297352089761
AVG,,12.110832318604054,6.81437685808303,8.16833136561622,-0.6962847250509053
