fold,origin,MAPE,MAE,RMSE,R2
0,2023-03-05,11.42541552631767,8.384032658168248,10.914585238870322,-0.8016297456455954
8,2023-04-30,11.019983760040216,7.284218924386161,9.399498431672182,-0.6950579356238771
15,2023-06-18,31.232418849551447,14.419051579066686,14.927785276276554,-1.0806211679642401
23,2023-08-13,12.310085411186954,7.374248504638672,9.906795547661494,-0.0014754900323019626
30,2023-10-01,4.312302513139816,2.7287995474679128,3.3328799239010363,-0.6394468095481514
38,2023-11-26,11.568938709256397,5.661355699811663,7.546569538193774,-0.6933160667141474
45,2024-01-14,22.06822804839428,9.176361083984375,12.25197296920551,-0.6425706208729303
53,2024-03-10,7.999865091333961,5.020725250244141,6.180329802836131,-0.08311767773113443
60,2024-04-28,7.893102684095378,4.589256286621094,5.711870356123873,-0.9076941351947094
68,2024-06-23,12.823777373438434,7.107571193150112,7.740349645794137,-0.020771077648861658
AVG,,13.265411796675455,7.174562072753906,8.7912636730535,-0.556570072697595
