scenario,description,model,MAPE,MAE,RMSE,R2,took_s,status,params,n_train,n_val,n_features
baseline,§5.5.2 split (post-COVID) + §3.4.3 consensus 23-feature set + tuned HPO,xgboost,12.637284664094354,7.4362163336380664,9.785707396786014,0.02553469087542315,12.8,OK,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 1.0}",848,184,23
baseline,§5.5.2 split (post-COVID) + §3.4.3 consensus 23-feature set + tuned HPO,ann,13.741616328748005,7.9730731093365215,10.39839458328409,-0.10030862727425927,36.3,OK,"{""hidden_layers"": 1, ""units"": 192, ""dropout"": 0.1, ""learning_rate"": 0.009295739575551345, ""batch_size"": 16, ""seed"": 42}",848,184,23
baseline,§5.5.2 split (post-COVID) + §3.4.3 consensus 23-feature set + tuned HPO,lstm,13.899633688575824,7.968620329693335,10.139840983354837,-0.046271077180904285,11.6,OK,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}",848,184,23
ignore_covid,Full 2019-05 -> 2024-06 train window (pre+during+post-COVID combined),xgboost,12.105888287227776,7.15967027000759,9.44932963073448,0.09137657347829864,0.2,OK,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 1.0}",1815,184,23
ignore_covid,Full 2019-05 -> 2024-06 train window (pre+during+post-COVID combined),ann,14.906055805601378,8.637082390163256,11.008519095327747,-0.23321764934965739,16.4,OK,"{""hidden_layers"": 1, ""units"": 192, ""dropout"": 0.1, ""learning_rate"": 0.009295739575551345, ""batch_size"": 16, ""seed"": 42}",1815,184,23
ignore_covid,Full 2019-05 -> 2024-06 train window (pre+during+post-COVID combined),lstm,13.864442031471727,7.936071762651236,10.0069938261163,-0.019035221614754017,21.0,OK,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}",1815,184,23
covid_aware,Full window + is_covid_period flag indicating 2020-03 -> 2022-02,xgboost,12.139990007150772,7.1868467538253125,9.457029340595883,0.08989520127439876,0.2,OK,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 1.0}",1815,184,24
covid_aware,Full window + is_covid_period flag indicating 2020-03 -> 2022-02,ann,13.673498517577713,8.036591239597486,10.121614627085348,-0.0425131147938147,17.4,OK,"{""hidden_layers"": 1, ""units"": 192, ""dropout"": 0.1, ""learning_rate"": 0.009295739575551345, ""batch_size"": 16, ""seed"": 42}",1815,184,24
covid_aware,Full window + is_covid_period flag indicating 2020-03 -> 2022-02,lstm,14.405085751893584,8.30252304266997,10.595705274321928,-0.14246175530514282,27.5,OK,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}",1815,184,24
no_feature_engineering,"§5.2.5 raw 10 features only (no lags, no rolling, no Fourier)",xgboost,12.248198216435567,7.298596506533415,9.464853391383205,0.08838867073825729,0.2,OK,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 1.0}",848,184,15
no_feature_engineering,"§5.2.5 raw 10 features only (no lags, no rolling, no Fourier)",ann,13.476613718134987,8.104489015496295,10.294300892296903,-0.07838949254838323,10.5,OK,"{""hidden_layers"": 1, ""units"": 192, ""dropout"": 0.1, ""learning_rate"": 0.009295739575551345, ""batch_size"": 16, ""seed"": 42}",848,184,15
no_feature_engineering,"§5.2.5 raw 10 features only (no lags, no rolling, no Fourier)",lstm,13.317071604151534,8.03351839780508,10.163342585004782,-0.05112668423174749,8.3,OK,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}",848,184,15
no_hpo,Vanilla/default hyperparameters (no HPO search),xgboost,14.852647630793026,8.6799955368042,11.166489087413975,-0.2688644302304559,0.3,OK,"{""n_estimators"": 100, ""max_depth"": 6, ""learning_rate"": 0.3, ""subsample"": 1.0}",848,184,23
no_hpo,Vanilla/default hyperparameters (no HPO search),ann,15.394517457130814,9.025865388953168,11.429781445270546,-0.3294064563093648,2.1,OK,"{""hidden_layers"": 1, ""units"": 64, ""dropout"": 0.0, ""learning_rate"": 0.01, ""batch_size"": 32, ""seed"": 42}",848,184,23
no_hpo,Vanilla/default hyperparameters (no HPO search),lstm,14.912373158036846,8.646221531787747,10.944022817560858,-0.21880972572701096,4.6,OK,"{""lookback"": 14, ""units"": 64, ""dropout"": 0.0, ""learning_rate"": 0.01, ""batch_size"": 32, ""seed"": 42}",848,184,23
no_feature_selection,All 100 engineered features (no §3.4.3 consensus filter),xgboost,12.162164424401343,7.2165724712869395,9.570533171281193,0.0679178369441692,0.2,OK,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 1.0}",848,184,71
no_feature_selection,All 100 engineered features (no §3.4.3 consensus filter),ann,15.850406663841184,9.460703818694405,12.129018794451394,-0.49703953408975354,7.0,OK,"{""hidden_layers"": 1, ""units"": 192, ""dropout"": 0.1, ""learning_rate"": 0.009295739575551345, ""batch_size"": 16, ""seed"": 42}",848,184,71
no_feature_selection,All 100 engineered features (no §3.4.3 consensus filter),lstm,14.579629875896968,8.706494048409812,10.703455237974046,-0.1658157700552383,9.4,OK,"{""lookback"": 21, ""units"": 128, ""dropout"": 0.2, ""learning_rate"": 0.001, ""batch_size"": 32, ""seed"": 42}",848,184,71
