model,1,2,3,4,5,6,7,mean
xgboost,14.498186289267737,13.495444333035008,11.543407254625896,12.163831440231213,8.216115362585773,13.162685205991883,10.8943362578475,11.996286591940716
ann,13.917483438198769,11.923997848192073,12.814069198372216,12.045127827155893,9.536994448537758,13.312629910747436,10.766674579690108,12.045282464413463
hybrid_sarimax_lstm,12.993920980348792,12.446128315976196,12.962445382288085,12.223586837092869,10.214721438702247,11.791164487777056,12.009540595008911,12.091644005313452
sarimax,13.171959377792644,12.840521140581531,12.580098258419053,12.502541578996427,11.278927842174978,13.458066261450593,11.803839610486795,12.519422009986004
hybrid_sarimax_xgb,12.953664371393328,12.429455270232264,13.27047315584724,11.520379074334425,12.796321056956161,12.511394815672963,12.974994142976795,12.636668841059024
nbglm,14.058535927399967,12.609273032712826,13.189896025778298,12.48722811278403,10.500001596423415,12.969517077819534,12.66143967831498,12.639413064461865
lstm,14.891563884933234,13.58543142388684,13.48518559267761,12.667029990614628,9.421248826748469,13.384924163217823,11.646461258549481,12.725977877232582
arima,16.223853760476374,11.783045244183139,12.641959378553844,13.35775102140552,9.789830302273707,15.947498064056292,13.484201548008368,13.318305616993893
hybrid_stl_ann,13.92636038346637,14.597832990047168,12.561995069838567,13.922781445684187,11.466749473635247,14.207739982058214,13.187572346266347,13.410147384428015
hybrid_lstm_xgb,15.835396363114157,14.728173349126056,13.686566310556497,13.08671053750208,10.73758891771018,13.939525309556453,12.375668100895961,13.484232698351628
hybrid_stl_lstm,13.528488804895577,16.61167764626621,13.806801164600694,13.265093058264632,10.577609620649973,15.195114987311886,13.138679641947485,13.73192356056235
hybrid_stl_xgb,15.443730261311265,16.11988117330963,14.301669197490021,12.246334819651903,11.254624751620932,14.95461926711757,13.17334391970878,13.927743341458585
